127.0.0.1 - - [20/Jan/2023:11:18:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jan/2023:11:18:21 +0530] "GET /web2/findsubject.jsp HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [20/Jan/2023:11:18:21 +0530] "GET /web2/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:11:18:29 +0530] "GET /web2/findsubject.jsp HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [20/Jan/2023:11:18:29 +0530] "GET /web2/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:11:18:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jan/2023:11:18:36 +0530] "GET /web2/findsubject?sname=s001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:11:18:36 +0530] "GET /web2/updatesubject.jsp HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/admindash.jsp HTTP/1.1" 200 8340
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/asset/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/asset/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/lib/chart/chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/lib/tempusdominus/js/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/img/ronak.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/asset/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:11 +0530] "GET /web2/img/favicon.ico HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [20/Jan/2023:18:04:15 +0530] "GET /web2/exam.jsp HTTP/1.1" 200 1795
